"
Conjugate in the Present Tense
ser
to be
","
ser
(present tense)
yo soy
tú eres
él, ella, Ud. es
nosotros somos
vosotros sois
ellos, Uds. son
"
"
Conjugate in the Present Tense
bañar
to bathe
","
bañar
(present tense)
yo baño
tú bañas
él, ella, Ud. baña
nosotros bañamos
vosotros bañáis
ellos, Uds. bañan
"
"
Conjugate in the Present Tense
llamar
to call
","
llamar
(present tense)
yo llamo
tú llamas
él, ella, Ud. llama
nosotros llamamos
vosotros llamáis
ellos, Uds. llaman
"
"
Conjugate in the Present Tense
divertirse
to have fun
","
divertirse
(present tense)
yo me divierto
tú te diviertes
él, ella, Ud. se divierte
nosotros nos divertimos
vosotros os divertís
ellos, Uds. se divierten
"
"
Conjugate in the Present Tense
entender
to understand
","
entender
(present tense)
yo entiendo
tú entiendes
él, ella, Ud. entiende
nosotros entendemos
vosotros entendéis
ellos, Uds. entienden
"
"
Conjugate in the Present Tense
comer
to eat
","
comer
(present tense)
yo como
tú comes
él, ella, Ud. come
nosotros comemos
vosotros coméis
ellos, Uds. comen
"
"
Conjugate in the Present Tense
sentirse
to feel
","
sentirse
(present tense)
yo me siento
tú te sientes
él, ella, Ud. se siente
nosotros nos sentimos
vosotros os sentís
ellos, Uds. se sienten
"
"
Conjugate in the Present Tense
ir
to go
","
ir
(present tense)
yo voy
tú vas
él, ella, Ud. va
nosotros vamos
vosotros vais
ellos, Uds. van
"
"
Conjugate in the Present Tense
jugar
to play
","
jugar
(present tense)
yo juego
tú juegas
él, ella, Ud. juega
nosotros jugamos
vosotros jugáis
ellos, Uds. juegan
"
"
Conjugate in the Present Tense
beber
to drink
","
beber
(present tense)
yo bebo
tú bebes
él, ella, Ud. bebe
nosotros bebemos
vosotros bebéis
ellos, Uds. beben
"
"
Conjugate in the Present Tense
poner
to put
","
poner
(present tense)
yo pongo
tú pones
él, ella, Ud. pone
nosotros ponemos
vosotros ponéis
ellos, Uds. ponen
"
"
Conjugate in the Present Tense
haber
(impersonal aux. Verb)
To be or to have to (e.g. I have to go) 
","
haber
(present tense)
yo he
tú has
él, ella, Ud. ha, impersonal: hay
nosotros hemos
vosotros habéis
ellos, Uds. han
"
"
Conjugate in the Present Tense
recordar
to remember
","
recordar
(present tense)
yo recuerdo
tú recuerdas
él, ella, Ud. recuerda
nosotros recordamos
vosotros recordáis
ellos, Uds. recuerdan
"
"
Conjugate in the Present Tense
llover
to rain
","
llover
(present tense)
yo --
tú --
él, ella, Ud. llueve
nosotros --
vosotros --
ellos, Uds. --
"
"
Conjugate in the Present Tense
mover
to move
","
mover
(present tense)
yo muevo
tú mueves
él, ella, Ud. mueve
nosotros movemos
vosotros movéis
ellos, Uds. mueven
"
"
Conjugate in the Present Tense
buscar
to look for
","
buscar
(present tense)
yo busco
tú buscas
él, ella, Ud. busca
nosotros buscamos
vosotros buscáis
ellos, Uds. buscan
"
"
Conjugate in the Present Tense
pasar
to pass
","
pasar
(present tense)
yo paso
tú pasas
él, ella, Ud. pasa
nosotros pasamos
vosotros pasáis
ellos, Uds. pasan
"
"
Conjugate in the Present Tense
esperar
to wait (for)
","
esperar
(present tense)
yo espero
tú esperas
él, ella, Ud. espera
nosotros esperamos
vosotros esperáis
ellos, Uds. esperan
"
"
Conjugate in the Present Tense
trabajar
to work
","
trabajar
(present tense)
yo trabajo
tú trabajas
él, ella, Ud. trabaja
nosotros trabajamos
vosotros trabajáis
ellos, Uds. trabajan
"
"
Conjugate in the Present Tense
llegar
to arrive
","
llegar
(present tense)
yo llego
tú llegas
él, ella, Ud. llega
nosotros llegamos
vosotros llegáis
ellos, Uds. llegan
"
"
Conjugate in the Present Tense
escuchar
to listen (to)
","
escuchar
(present tense)
yo escucho
tú escuchas
él, ella, Ud. escucha
nosotros escuchamos
vosotros escucháis
ellos, Uds. escuchan
"
"
Conjugate in the Present Tense
bailar
to dance
","
bailar
(present tense)
yo bailo
tú bailas
él, ella, Ud. baila
nosotros bailamos
vosotros bailáis
ellos, Uds. bailan
"
"
Conjugate in the Present Tense
viajar
to travel
","
viajar
(present tense)
yo viajo
tú viajas
él, ella, Ud. viaja
nosotros viajamos
vosotros viajáis
ellos, Uds. viajan
"
"
Conjugate in the Present Tense
tratar
to try
","
tratar
(present tense)
yo trato
tú tratas
él, ella, Ud. trata
nosotros tratamos
vosotros tratáis
ellos, Uds. tratan
"
"
Conjugate in the Present Tense
servir
to serve
","
servir
(present tense)
yo sirvo
tú sirves
él, ella, Ud. sirve
nosotros servimos
vosotros servís
ellos, Uds. sirven
"
"
Conjugate in the Present Tense
empezar
to start
","
empezar
(present tense)
yo empiezo
tú empiezas
él, ella, Ud. empieza
nosotros empezamos
vosotros empezáis
ellos, Uds. empiezan
"
"
Conjugate in the Present Tense
sacar
to take out
","
sacar
(present tense)
yo saco
tú sacas
él, ella, Ud. saca
nosotros sacamos
vosotros sacáis
ellos, Uds. sacan
"
"
Conjugate in the Present Tense
gritar
to scream
","
gritar
(present tense)
yo grito
tú gritas
él, ella, Ud. grita
nosotros gritamos
vosotros gritáis
ellos, Uds. gritan
"
"
Conjugate in the Present Tense
botar
to throw out
","
botar
(present tense)
yo boto
tú botas
él, ella, Ud. bota
nosotros botamos
vosotros botáis
ellos, Uds. botan
"
"
Conjugate in the Present Tense
probar
to try, to taste
","
probar
(present tense)
yo pruebo
tú pruebas
él, ella, Ud. prueba
nosotros probamos
vosotros probáis
ellos, Uds. prueban
"
"
Conjugate in the Present Tense
cocinar
to cook
","
cocinar
(present tense)
yo cocino
tú cocinas
él, ella, Ud. cocina
nosotros cocinamos
vosotros cocináis
ellos, Uds. cocinan
"
"
Conjugate in the Present Tense
sentarse
to sit (down)
","
sentarse
(present tense)
yo me siento
tú te sientas
él, ella, Ud. se sienta
nosotros nos sentamos
vosotros os sentáis
ellos, Uds. se sientan
"
"
Conjugate in the Present Tense
abrazar
to hug
","
abrazar
(present tense)
yo abrazo
tú abrazas
él, ella, Ud. abraza
nosotros abrazamos
vosotros abrazáis
ellos, Uds. abrazan
"
"
Conjugate in the Present Tense
necesitar
to need
","
necesitar
(present tense)
yo necesito
tú necesitas
él, ella, Ud. necesita
nosotros necesitamos
vosotros necesitáis
ellos, Uds. necesitan
"
"
Conjugate in the Present Tense
usar
to use
","
usar
(present tense)
yo uso
tú usas
él, ella, Ud. usa
nosotros usamos
vosotros usáis
ellos, Uds. usan
"
"
Conjugate in the Present Tense
caminar
to walk
","
caminar
(present tense)
yo camino
tú caminas
él, ella, Ud. camina
nosotros caminamos
vosotros camináis
ellos, Uds. caminan
"
"
Conjugate in the Present Tense
regresar
to return
","
regresar
(present tense)
yo regreso
tú regresas
él, ella, Ud. regresa
nosotros regresamos
vosotros regresáis
ellos, Uds. regresan
"
"
Conjugate in the Present Tense
encontrar
to find
","
encontrar
(present tense)
yo encuentro
tú encuentras
él, ella, Ud. encuentra
nosotros encontramos
vosotros encontráis
ellos, Uds. encuentran
"
"
Conjugate in the Present Tense
morir
to die
","
morir
(present tense)
yo muero
tú mueres
él, ella, Ud. muere
nosotros morimos
vosotros morís
ellos, Uds. mueren
"
"
Conjugate in the Present Tense
amar
to love
","
amar
(present tense)
yo amo
tú amas
él, ella, Ud. ama
nosotros amamos
vosotros amáis
ellos, Uds. aman
"
"
Conjugate in the Present Tense
preguntar
to ask
","
preguntar
(present tense)
yo pregunto
tú preguntas
él, ella, Ud. pregunta
nosotros preguntamos
vosotros preguntáis
ellos, Uds. preguntan
"
"
Conjugate in the Present Tense
preferir
to prefer
","
preferir
(present tense)
yo prefiero
tú prefieres
él, ella, Ud. prefiere
nosotros preferimos
vosotros preferís
ellos, Uds. prefieren
"
"
Conjugate in the Present Tense
romper
to break
","
romper
(present tense)
yo rompo
tú rompes
él, ella, Ud. rompe
nosotros rompemos
vosotros rompéis
ellos, Uds. rompen
"
"
Conjugate in the Present Tense
fumar
to smoke
","
fumar
(present tense)
yo fumo
tú fumas
él, ella, Ud. fuma
nosotros fumamos
vosotros fumáis
ellos, Uds. fuman
"
"
Conjugate in the Present Tense
pintar
to paint
","
pintar
(present tense)
yo pinto
tú pintas
él, ella, Ud. pinta
nosotros pintamos
vosotros pintáis
ellos, Uds. pintan
"
"
Conjugate in the Present Tense
quemar
to burn
","
quemar
(present tense)
yo quemo
tú quemas
él, ella, Ud. quema
nosotros quemamos
vosotros quemáis
ellos, Uds. queman
"
"
Conjugate in the Present Tense
cortar
to cut
","
cortar
(present tense)
yo corto
tú cortas
él, ella, Ud. corta
nosotros cortamos
vosotros cortáis
ellos, Uds. cortan
"
"
Conjugate in the Present Tense
escoger
to choose
","
escoger
(present tense)
yo escojo
tú escoges
él, ella, Ud. escoge
nosotros escogemos
vosotros escogéis
ellos, Uds. escogen
"
"
Conjugate in the Present Tense
describir
to describe
","
describir
(present tense)
yo describo
tú describes
él, ella, Ud. describe
nosotros describimos
vosotros describís
ellos, Uds. describen
"
"
Conjugate in the Present Tense
quedar/quedarse
to stay, to remain
","
quedar/quedarse
(present tense)
yo quedo
tú quedas
él, ella, Ud. queda
nosotros quedamos
vosotros quedáis
ellos, Uds. quedan
"
"
Conjugate in the Present Tense
corregir
to correct
","
corregir
(present tense)
yo corrijo
tú corriges
él, ella, Ud. corrige
nosotros corregimos
vosotros corregís
ellos, Uds. corrigen
"
"
Conjugate in the Present Tense
abrir
to open
","
abrir
(present tense)
yo abro
tú abres
él, ella, Ud. abre
nosotros abrimos
vosotros abrís
ellos, Uds. abren
"
"
Conjugate in the Present Tense
cubrir
to cover
","
cubrir
(present tense)
yo cubro
tú cubres
él, ella, Ud. cubre
nosotros cubrimos
vosotros cubrís
ellos, Uds. cubren
"
"
Conjugate in the Present Tense
costar
to cost
","
costar
(present tense)
yo cuesto
tú cuestas
él, ella, Ud. cuesta
nosotros costamos
vosotros costáis
ellos, Uds. cuestan
"
"
Conjugate in the Present Tense
subir
to go up
","
subir
(present tense)
yo subo
tú subes
él, ella, Ud. sube
nosotros subimos
vosotros subís
ellos, Uds. suben
"
"
Conjugate in the Present Tense
volar
to fly
","
volar
(present tense)
yo vuelo
tú vuelas
él, ella, Ud. vuela
nosotros volamos
vosotros voláis
ellos, Uds. vuelan
"
"
Conjugate in the Present Tense
sonreír
to smile
","
sonreír
(present tense)
yo sonrío
tú sonríes
él, ella, Ud. sonríe
nosotros sonreímos
vosotros sonreís
ellos, Uds. sonríen
"
"
Conjugate in the Present Tense
ganar
to win, to earn
","
ganar
(present tense)
yo gano
tú ganas
él, ella, Ud. gana
nosotros ganamos
vosotros ganáis
ellos, Uds. ganan
"
"
Conjugate in the Present Tense
acompañar
to accompany
","
acompañar
(present tense)
yo acompaño
tú acompañas
él, ella, Ud. acompaña
nosotros acompañamos
vosotros acompañáis
ellos, Uds. acompañan
"
"
Conjugate in the Present Tense
doler
to hurt
","
doler
(present tense)
yo duelo
tú dueles
él, ella, Ud. duele
nosotros dolemos
vosotros doléis
ellos, Uds. duelen
"
"
Conjugate in the Present Tense
devolver
to return (something)
","
devolver
(present tense)
yo devuelvo
tú devuelves
él, ella, Ud. devuelve
nosotros devolvemos
vosotros devolvéis
ellos, Uds. devuelven
"
"
Conjugate in the Present Tense
matar
to kill
","
matar
(present tense)
yo mato
tú matas
él, ella, Ud. mata
nosotros matamos
vosotros matáis
ellos, Uds. matan
"
"
Conjugate in the Present Tense
recoger
to pick up
","
recoger
(present tense)
yo recojo
tú recoges
él, ella, Ud. recoge
nosotros recogemos
vosotros recogéis
ellos, Uds. recogen
"
"
Conjugate in the Present Tense
parar
to stop
","
parar
(present tense)
yo paro
tú paras
él, ella, Ud. para
nosotros paramos
vosotros paráis
ellos, Uds. paran
"
"
Conjugate in the Present Tense
correr
to run
","
correr
(present tense)
yo corro
tú corres
él, ella, Ud. corre
nosotros corremos
vosotros corréis
ellos, Uds. corren
"
"
Conjugate in the Present Tense
dejar
to leave (something), to let
","
dejar
(present tense)
yo dejo
tú dejas
él, ella, Ud. deja
nosotros dejamos
vosotros dejáis
ellos, Uds. dejan
"
"
Conjugate in the Present Tense
ayudar
to help
","
ayudar
(present tense)
yo ayudo
tú ayudas
él, ella, Ud. ayuda
nosotros ayudamos
vosotros ayudáis
ellos, Uds. ayudan
"
"
Conjugate in the Present Tense
tocar
to touch, to play (instrument)
","
tocar
(present tense)
yo toco
tú tocas
él, ella, Ud. toca
nosotros tocamos
vosotros tocáis
ellos, Uds. tocan
"
"
Conjugate in the Present Tense
olvidar
to forget
","
olvidar
(present tense)
yo olvido
tú olvidas
él, ella, Ud. olvida
nosotros olvidamos
vosotros olvidáis
ellos, Uds. olvidan
"
"
Conjugate in the Present Tense
mostrar
to show
","
mostrar
(present tense)
yo muestro
tú muestras
él, ella, Ud. muestra
nosotros mostramos
vosotros mostráis
ellos, Uds. muestran
"
"
Conjugate in the Present Tense
contestar
to answer
","
contestar
(present tense)
yo contesto
tú contestas
él, ella, Ud. contesta
nosotros contestamos
vosotros contestáis
ellos, Uds. contestan
"
"
Conjugate in the Present Tense
enseñar
to teach
","
enseñar
(present tense)
yo enseño
tú enseñas
él, ella, Ud. enseña
nosotros enseñamos
vosotros enseñáis
ellos, Uds. enseñan
"
"
Conjugate in the Present Tense
reírse
to laugh
","
reírse
(present tense)
yo me río
tú te ríes
él, ella, Ud. se ríe
nosotros nos reímos
vosotros os reís
ellos, Uds. se ríen
"
"
Conjugate in the Present Tense
parecer
to seem
","
parecer
(present tense)
yo parezco
tú pareces
él, ella, Ud. parece
nosotros parecemos
vosotros parecéis
ellos, Uds. parecen
"
"
Conjugate in the Present Tense
practicar
to practice
","
practicar
(present tense)
yo practico
tú practicas
él, ella, Ud. practica
nosotros practicamos
vosotros practicáis
ellos, Uds. practican
"
"
Conjugate in the Present Tense
funcionar
to function, to work
","
funcionar
(present tense)
yo funciono
tú funcionas
él, ella, Ud. funciona
nosotros funcionamos
vosotros funcionáis
ellos, Uds. funcionan
"
"
Conjugate in the Present Tense
lavar
to wash
","
lavar
(present tense)
yo lavo
tú lavas
él, ella, Ud. lava
nosotros lavamos
vosotros laváis
ellos, Uds. lavan
"
"
Conjugate in the Present Tense
faltar
to lack (intr.)
","
faltar
(present tense)
yo falto
tú faltas
él, ella, Ud. falta
nosotros faltamos
vosotros faltáis
ellos, Uds. faltan
"
"
Conjugate in the Present Tense
luchar
to fight
","
luchar
(present tense)
yo lucho
tú luchas
él, ella, Ud. lucha
nosotros luchamos
vosotros lucháis
ellos, Uds. luchan
"
"
Conjugate in the Present Tense
traducir
to translate
","
traducir
(present tense)
yo traduzco
tú traduces
él, ella, Ud. traduce
nosotros traducimos
vosotros traducís
ellos, Uds. traducen
"
"
Conjugate in the Present Tense
secar
to dry
","
secar
(present tense)
yo seco
tú secas
él, ella, Ud. seca
nosotros secamos
vosotros secáis
ellos, Uds. secan
"
"
Conjugate in the Present Tense
nevar
to snow
","
nevar
(present tense)
yo --
tú --
él, ella, Ud. nieva
nosotros --
vosotros --
ellos, Uds. --
"
"
Conjugate in the Present Tense
saludar
to say hello
","
saludar
(present tense)
yo saludo
tú saludas
él, ella, Ud. saluda
nosotros saludamos
vosotros saludáis
ellos, Uds. saludan
"
"
Conjugate in the Present Tense
destruir
to destroy
","
destruir
(present tense)
yo destruyo
tú destruyes
él, ella, Ud. destruye
nosotros destruimos
vosotros destruís
ellos, Uds. destruyen
"
"
Conjugate in the Present Tense
alquilar
to rent
","
alquilar
(present tense)
yo alquilo
tú alquilas
él, ella, Ud. alquila
nosotros alquilamos
vosotros alquiláis
ellos, Uds. alquilan
"
"
Conjugate in the Present Tense
pronunciar
to pronounce
","
pronunciar
(present tense)
yo pronuncio
tú pronuncias
él, ella, Ud. pronuncia
nosotros pronunciamos
vosotros pronunciáis
ellos, Uds. pronuncian
"
"
Conjugate in the Present Tense
regalar
to give a gift
","
regalar
(present tense)
yo regalo
tú regalas
él, ella, Ud. regala
nosotros regalamos
vosotros regaláis
ellos, Uds. regalan
"
"
Conjugate in the Present Tense
crecer
to grow
","
crecer
(present tense)
yo crezco
tú creces
él, ella, Ud. crece
nosotros crecemos
vosotros crecéis
ellos, Uds. crecen
"
"
Conjugate in the Present Tense
cenar
to eat dinner
","
cenar
(present tense)
yo ceno
tú cenas
él, ella, Ud. cena
nosotros cenamos
vosotros cenáis
ellos, Uds. cenan
"
"
Conjugate in the Present Tense
descansar
to rest
","
descansar
(present tense)
yo descanso
tú descansas
él, ella, Ud. descansa
nosotros descansamos
vosotros descansáis
ellos, Uds. descansan
"
"
Conjugate in the Present Tense
casarse
to get married
","
casarse
(present tense)
yo me caso
tú te casas
él, ella, Ud. se casa
nosotros nos casamos
vosotros os casáis
ellos, Uds. se casan
"
"
Conjugate in the Present Tense
gastar
to spend
","
gastar
(present tense)
yo gasto
tú gastas
él, ella, Ud. gasta
nosotros gastamos
vosotros gastáis
ellos, Uds. gastan
"
"
Conjugate in the Present Tense
mejorar
to improve
","
mejorar
(present tense)
yo mejoro
tú mejoras
él, ella, Ud. mejora
nosotros mejoramos
vosotros mejoráis
ellos, Uds. mejoran
"
"
Conjugate in the Present Tense
soñar
to dream
","
soñar
(present tense)
yo sueño
tú sueñas
él, ella, Ud. sueña
nosotros soñamos
vosotros soñáis
ellos, Uds. sueñan
"
"
Conjugate in the Present Tense
oler
to smell
","
oler
(present tense)
yo huelo
tú hueles
él, ella, Ud. huele
nosotros olemos
vosotros oléis
ellos, Uds. huelen
"
"
Conjugate in the Present Tense
limpiar
to clean
","
limpiar
(present tense)
yo limpio
tú limpias
él, ella, Ud. limpia
nosotros limpiamos
vosotros limpiáis
ellos, Uds. limpian
"
"
Conjugate in the Present Tense
nadar
to swim
","
nadar
(present tense)
yo nado
tú nadas
él, ella, Ud. nada
nosotros nadamos
vosotros nadáis
ellos, Uds. nadan
"
"
Conjugate in the Present Tense
visitar
to visit
","
visitar
(present tense)
yo visito
tú visitas
él, ella, Ud. visita
nosotros visitamos
vosotros visitáis
ellos, Uds. visitan
"
"
Conjugate in the Present Tense
cerrar
to close
","
cerrar
(present tense)
yo cierro
tú cierras
él, ella, Ud. cierra
nosotros cerramos
vosotros cerráis
ellos, Uds. cierran
"
"
Conjugate in the Present Tense
vestirse
to get dressed
","
vestirse
(present tense)
yo me visto
tú te vistes
él, ella, Ud. se viste
nosotros nos vestimos
vosotros os vestís
ellos, Uds. se visten
"
"
Conjugate in the Present Tense
importar
to import, to be important
","
importar
(present tense)
yo importo
tú importas
él, ella, Ud. importa
nosotros importamos
vosotros importáis
ellos, Uds. importan
"
"
Conjugate in the Present Tense
comprender
to understand
","
comprender
(present tense)
yo comprendo
tú comprendes
él, ella, Ud. comprende
nosotros comprendemos
vosotros comprendéis
ellos, Uds. comprenden
"
"
Conjugate in the Present Tense
responder
to respond
","
responder
(present tense)
yo respondo
tú respondes
él, ella, Ud. responde
nosotros respondemos
vosotros respondéis
ellos, Uds. responden
"
"
Conjugate in the Present Tense
despertarse
to wake up
","
despertarse
(present tense)
yo me despierto
tú te despiertas
él, ella, Ud. se despierta
nosotros nos despertamos
vosotros os despertáis
ellos, Uds. se despiertan
"
"
Conjugate in the Present Tense
preocupar
to worry
","
preocupar
(present tense)
yo preocupo
tú preocupas
él, ella, Ud. preocupa
nosotros preocupamos
vosotros preocupáis
ellos, Uds. preocupan
"
"
Conjugate in the Present Tense
asegurar
to make sure
","
asegurar
(present tense)
yo aseguro
tú aseguras
él, ella, Ud. asegura
nosotros aseguramos
vosotros aseguráis
ellos, Uds. aseguran
"
"
Conjugate in the Present Tense
reconocer
to recognize
","
reconocer
(present tense)
yo reconozco
tú reconoces
él, ella, Ud. reconoce
nosotros reconocemos
vosotros reconocéis
ellos, Uds. reconocen
"
"
Conjugate in the Present Tense
advertir
to warn
","
advertir
(present tense)
yo advierto
tú adviertes
él, ella, Ud. advierte
nosotros advertimos
vosotros advertís
ellos, Uds. advierten
"
"
Conjugate in the Present Tense
preparar
to prepare
","
preparar
(present tense)
yo preparo
tú preparas
él, ella, Ud. prepara
nosotros preparamos
vosotros preparáis
ellos, Uds. preparan
"
"
Conjugate in the Present Tense
robar
to steal
","
robar
(present tense)
yo robo
tú robas
él, ella, Ud. roba
nosotros robamos
vosotros robáis
ellos, Uds. roban
"
"
Conjugate in the Present Tense
manejar
to manage, to drive
","
manejar
(present tense)
yo manejo
tú manejas
él, ella, Ud. maneja
nosotros manejamos
vosotros manejáis
ellos, Uds. manejan
"
"
Conjugate in the Present Tense
partir
to leave, to depart
","
partir
(present tense)
yo parto
tú partes
él, ella, Ud. parte
nosotros partimos
vosotros partís
ellos, Uds. parten
"
